Reference,Epoch,Constellation,LEO Satellites,GNSS Satellites,GDOP,PDOP,HDOP,VDOP,TDOP,LEO Satellite IDs,GNSS Satellite IDs,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,NavIC Satellites
HKSL,2025-03-31 12:00:00,CENTISPACE,6,51,0.6183976697370235,0.5632104272048711,0.3293096715029204,0.4569038471789575,0.2553618856131182,"90004, 90014, 90015, 90025, 90026, 90047","C06, C07, C08, C09, C10, C11, C13, C14, C16, C24, C25, C27, C28, C33, C34, C38, C39, C40, C41, C42, C43, E07, E08, E13, E15, E21, E23, E26, E27, E29, E33, G05, G06, G11, G12, G13, G15, G18, G20, G23, G24, G25, G29, G30, R02, R03, R04, R17, R18, R19, R24",13,7,10,21,0,0
HongKong1,2025-03-31 12:00:00,CENTISPACE,0,17,2.6156816803381413,2.1137704257667744,1.1214481949292618,1.7917531523444157,1.5407028396190852,,"C06, C07, C10, C11, C16, C39, C40, C41, C43, E07, G11, G13, G15, G29, R03, R17, R24",4,3,1,9,0,0
HongKong2,2025-03-31 12:00:00,CENTISPACE,1,21,1.8055824993765321,1.5213849146704335,0.886560982545887,1.2363744104493726,0.9723765235072485,90004,"C06, C07, C10, C11, C16, C25, C28, C33, C34, C38, C39, C40, C41, C43, E07, G13, G15, G29, R03, R17, R24",3,3,1,14,0,0
Neony,2025-03-31 12:00:00,CENTISPACE,0,5,63.358528758923406,45.53298413272911,4.399176619472997,45.31997229811646,44.05735491905935,,"C27, E31, E33, G18, R19",1,1,2,1,0,0
UPWr,2025-03-31 12:00:00,CENTISPACE,0,16,2.4875356010132608,2.2017913622853853,1.6808926932898494,1.4221409763730632,1.1575613000069895,,"C08, C13, C27, C28, C30, E18, E26, E31, E33, G18, G26, G29, R09, R18, R19, R20",3,4,4,5,0,0
WROC,2025-03-31 12:00:00,CENTISPACE,3,40,0.6872403653831224,0.6267200289266646,0.38343812595003984,0.49573500806959425,0.2819952573255235,"90002, 90043, 90054","C08, C13, C14, C27, C28, C30, C33, C36, C38, C41, C42, C45, E03, E08, E10, E12, E16, E18, E23, E24, E26, E31, E33, G05, G16, G18, G23, G26, G27, G28, G29, G31, R01, R02, R03, R09, R16, R18, R19, R20",9,8,11,12,0,0
HKSL,2025-03-31 12:00:30,CENTISPACE,6,51,0.6162937428201558,0.5613910374612715,0.3276857444319456,0.4558310540517445,0.25427953220311217,"90004, 90014, 90015, 90025, 90026, 90047","C06, C07, C08, C09, C10, C11, C13, C14, C16, C24, C25, C27, C28, C33, C34, C38, C39, C40, C41, C42, C43, E07, E08, E13, E15, E21, E23, E26, E27, E29, E33, G05, G06, G11, G12, G13, G15, G18, G20, G23, G24, G25, G29, G30, R02, R03, R04, R17, R18, R19, R24",13,7,10,21,0,0
HongKong1,2025-03-31 12:00:30,CENTISPACE,0,17,2.6277209607145897,2.1231339602487354,1.124856491547219,1.8006653455280244,1.548295719240135,,"C06, C07, C10, C11, C16, C39, C40, C41, C43, E07, G11, G13, G15, G29, R03, R17, R24",4,3,1,9,0,0
HongKong2,2025-03-31 12:00:30,CENTISPACE,1,21,1.8018879595617534,1.5137964957122156,0.8706630180110448,1.2383560632945936,0.9773537682860972,90004,"C06, C07, C10, C11, C16, C25, C28, C33, C34, C38, C39, C40, C41, C43, E07, G13, G15, G29, R03, R17, R24",3,3,1,14,0,0
Neony,2025-03-31 12:00:30,CENTISPACE,0,5,60.9415428183563,43.8127745017785,4.403652951214952,43.59090559083337,42.3593252016349,,"C27, E31, E33, G18, R19",1,1,2,1,0,0
UPWr,2025-03-31 12:00:30,CENTISPACE,0,16,2.485070860453751,2.1985589633484057,1.6756748160885166,1.423297377938403,1.158410836515581,,"C08, C13, C27, C28, C30, E18, E26, E31, E33, G18, G26, G29, R09, R18, R19, R20",3,4,4,5,0,0
WROC,2025-03-31 12:00:30,CENTISPACE,3,41,0.6686115044483446,0.6112393281639866,0.3746133421906603,0.4829889855339405,0.27097569556385875,"90002, 90043, 90054","C08, C13, C14, C27, C28, C30, C33, C36, C38, C41, C42, C45, E03, E08, E10, E12, E16, E18, E23, E24, E26, E31, E33, G05, G10, G16, G18, G23, G26, G27, G28, G29, G31, R01, R02, R03, R09, R16, R18, R19, R20",10,8,11,12,0,0
HKSL,2025-03-31 12:01:00,CENTISPACE,5,51,0.636014525452873,0.5780365946267986,0.33381306562042495,0.47190586132070844,0.26530769280082567,"90004, 90014, 90015, 90025, 90047","C06, C07, C08, C09, C10, C11, C13, C14, C16, C24, C25, C27, C28, C33, C34, C38, C39, C40, C41, C42, C43, E07, E08, E13, E15, E21, E23, E26, E27, E29, E33, G05, G06, G11, G12, G13, G15, G18, G20, G23, G24, G25, G29, G30, R02, R03, R04, R17, R18, R19, R24",13,7,10,21,0,0
HongKong1,2025-03-31 12:01:00,CENTISPACE,1,17,2.5796605143528613,2.0860264557629296,1.1265350166466284,1.7556836931554127,1.5176106204057815,90025,"C06, C07, C10, C11, C16, C39, C40, C41, C43, E07, G11, G13, G15, G29, R03, R17, R24",4,3,1,9,0,0
HongKong2,2025-03-31 12:01:00,CENTISPACE,1,21,1.8132420585805975,1.530349224073287,0.908681871984898,1.2313675337395138,0.9725626022955497,90025,"C06, C07, C10, C11, C16, C25, C28, C33, C34, C38, C39, C40, C41, C43, E07, G13, G15, G29, R03, R17, R24",3,3,1,14,0,0
Neony,2025-03-31 12:01:00,CENTISPACE,0,5,58.66407684533853,42.19226263177859,4.408035839980773,41.96136611244234,40.758887204225836,,"C27, E31, E33, G18, R19",1,1,2,1,0,0
UPWr,2025-03-31 12:01:00,CENTISPACE,0,16,2.482398090600434,2.1951135191104263,1.6702115920196112,1.4244004351532176,1.1592139226369405,,"C08, C13, C27, C28, C30, E18, E26, E31, E33, G18, G26, G29, R09, R18, R19, R20",3,4,4,5,0,0
WROC,2025-03-31 12:01:00,CENTISPACE,3,40,0.6877554008460711,0.6270380380732659,0.38140048570451157,0.4977051041481623,0.28254343064769627,"90002, 90043, 90054","C08, C13, C14, C27, C28, C30, C33, C36, C38, C41, C42, C45, E03, E08, E10, E12, E16, E18, E23, E24, E26, E31, E33, G05, G10, G16, G18, G23, G26, G27, G28, G29, G31, R02, R03, R09, R16, R18, R19, R20",10,7,11,12,0,0
HKSL,2025-03-31 12:01:30,CENTISPACE,6,51,0.6229916608822885,0.5674483371528772,0.32806280342792515,0.46300368502267447,0.2571400283722993,"90003, 90004, 90014, 90015, 90025, 90047","C06, C07, C08, C09, C10, C11, C13, C14, C16, C24, C25, C27, C28, C33, C34, C38, C39, C40, C41, C42, C43, E07, E08, E13, E15, E21, E23, E26, E27, E29, E33, G05, G06, G11, G12, G13, G15, G18, G20, G23, G24, G25, G29, G30, R02, R03, R04, R17, R18, R19, R24",13,7,10,21,0,0
HongKong1,2025-03-31 12:01:30,CENTISPACE,2,17,2.090242442792435,1.7259191794922166,1.0013899153894104,1.4057080961193458,1.1791168116483626,"90014, 90025","C06, C07, C10, C11, C16, C39, C40, C41, C43, E07, G11, G13, G15, G29, R03, R17, R24",4,3,1,9,0,0
