Reference,Constellation,Epoch,Satellite_ID,E,N,U
WROC,GNSS,2025-03-31 12:00:00,C06,31092392.93976576,-12129202.406888109,-32125053.582147148
WROC,GNSS,2025-03-31 12:00:30,C06,31130067.135615673,-12094236.995196776,-32096117.070034865
WROC,GNSS,2025-03-31 12:01:00,C06,31167741.331465583,-12059271.583505439,-32067180.557922576
WROC,GNSS,2025-03-31 12:01:30,C06,31205415.527315497,-12024306.171814105,-32038244.04581029
WROC,GNSS,2025-03-31 12:02:00,C06,31243089.72316541,-11989340.760122767,-32009307.533698
WROC,GNSS,2025-03-31 12:02:30,C06,31280763.919015326,-11954375.348431429,-31980371.02158571
WROC,GNSS,2025-03-31 12:03:00,C06,31318438.11486524,-11919409.936740097,-31951434.509473424
WROC,GNSS,2025-03-31 12:03:30,C06,31356112.310715154,-11884444.52504876,-31922497.997361135
WROC,GNSS,2025-03-31 12:04:00,C06,31393786.506565064,-11849479.113357425,-31893561.48524885
WROC,GNSS,2025-03-31 12:04:30,C06,31431460.70241498,-11814513.70166609,-31864624.973136563
WROC,GNSS,2025-03-31 12:05:00,C06,31469134.898264896,-11779548.289974755,-31835688.461024273
WROC,GNSS,2025-03-31 12:05:30,C06,31507169.542413786,-11745054.23118228,-31804698.028730027
WROC,GNSS,2025-03-31 12:06:00,C06,31545204.186562683,-11710560.172389813,-31773707.596435785
WROC,GNSS,2025-03-31 12:06:30,C06,31583238.83071158,-11676066.11359734,-31742717.16414154
WROC,GNSS,2025-03-31 12:07:00,C06,31621273.47486047,-11641572.054804869,-31711726.731847294
WROC,GNSS,2025-03-31 12:07:30,C06,31659308.119009368,-11607077.996012403,-31680736.299553048
WROC,GNSS,2025-03-31 12:08:00,C06,31697342.76315826,-11572583.937219929,-31649745.867258802
WROC,GNSS,2025-03-31 12:08:30,C06,31735377.40730716,-11538089.87842746,-31618755.434964556
WROC,GNSS,2025-03-31 12:09:00,C06,31773412.051456057,-11503595.819634989,-31587765.00267031
WROC,GNSS,2025-03-31 12:09:30,C06,31811446.69560495,-11469101.76084252,-31556774.570376065
WROC,GNSS,2025-03-31 12:10:00,C06,31849481.339753848,-11434607.702050047,-31525784.138081823
WROC,GNSS,2025-03-31 12:10:30,C06,31887804.125359774,-11400609.957990969,-31492748.29856055
WROC,GNSS,2025-03-31 12:11:00,C06,31926126.910965703,-11366612.213931886,-31459712.459039275
WROC,GNSS,2025-03-31 12:11:30,C06,31964449.696571637,-11332614.469872806,-31426676.619517997
WROC,GNSS,2025-03-31 12:12:00,C06,32002772.482177563,-11298616.725813719,-31393640.779996723
WROC,GNSS,2025-03-31 12:12:30,C06,32041095.267783493,-11264618.98175464,-31360604.940475445
WROC,GNSS,2025-03-31 12:13:00,C06,32079418.053389426,-11230621.237695558,-31327569.10095417
WROC,GNSS,2025-03-31 12:13:30,C06,32117740.838995352,-11196623.493636478,-31294533.2614329
WROC,GNSS,2025-03-31 12:14:00,C06,32156063.624601282,-11162625.749577396,-31261497.421911623
WROC,GNSS,2025-03-31 12:14:30,C06,32194386.410207216,-11128628.005518312,-31228461.58239035
WROC,GNSS,2025-03-31 12:15:00,C06,32232709.195813145,-11094630.261459231,-31195425.742869075
WROC,GNSS,2025-03-31 12:15:30,C06,32271247.279114958,-11061151.696114222,-31160355.468383677
WROC,GNSS,2025-03-31 12:16:00,C06,32309785.362416778,-11027673.130769212,-31125285.193898283
WROC,GNSS,2025-03-31 12:16:30,C06,32348323.445718594,-10994194.565424198,-31090214.91941288
WROC,GNSS,2025-03-31 12:17:00,C06,32386861.529020406,-10960716.000079192,-31055144.644927487
WROC,GNSS,2025-03-31 12:17:30,C06,32425399.612322226,-10927237.434734184,-31020074.370442085
WROC,GNSS,2025-03-31 12:18:00,C06,32463937.69562404,-10893758.869389169,-30985004.095956687
WROC,GNSS,2025-03-31 12:18:30,C06,32502475.778925862,-10860280.30404416,-30949933.82147129
WROC,GNSS,2025-03-31 12:19:00,C06,32541013.86222768,-10826801.738699151,-30914863.54698589
WROC,GNSS,2025-03-31 12:19:30,C06,32579551.94552949,-10793323.173354145,-30879793.272500496
WROC,GNSS,2025-03-31 12:20:00,C06,32618090.028831307,-10759844.60800913,-30844722.9980151
WROC,GNSS,2025-03-31 12:20:30,C06,32656770.16893588,-10726905.965448044,-30807631.723922495
WROC,GNSS,2025-03-31 12:21:00,C06,32695450.30904045,-10693967.322886953,-30770540.449829888
WROC,GNSS,2025-03-31 12:21:30,C06,32734130.44914502,-10661028.680325864,-30733449.175737284
WROC,GNSS,2025-03-31 12:22:00,C06,32772810.589249592,-10628090.03776478,-30696357.90164468
