Reference,Epoch,Satellite_ID,Azimuth,Elevation
WROC,2025-03-31 12:00:00,C06,111.31085244566258,-43.90721441413774
WROC,2025-03-31 12:00:30,C06,111.23147764628354,-43.86219171438721
WROC,2025-03-31 12:01:00,C06,111.15220951227741,-43.817106640290646
WROC,2025-03-31 12:01:30,C06,111.0730481316137,-43.77195947758495
WROC,2025-03-31 12:02:00,C06,110.99399359039491,-43.72675051256762
WROC,2025-03-31 12:02:30,C06,110.91504597286406,-43.681480032089254
WROC,2025-03-31 12:03:00,C06,110.83620536141252,-43.636148323546145
WROC,2025-03-31 12:03:30,C06,110.75747183658751,-43.59075567487285
WROC,2025-03-31 12:04:00,C06,110.67884547709988,-43.54530237453487
WROC,2025-03-31 12:04:30,C06,110.60032635983191,-43.49978871152107
WROC,2025-03-31 12:05:00,C06,110.52191455984502,-43.454214975336356
WROC,2025-03-31 12:05:30,C06,110.4441482025795,-43.40630695458557
WROC,2025-03-31 12:06:00,C06,110.3664908858567,-43.35833770230865
WROC,2025-03-31 12:06:30,C06,110.28894266521921,-43.31030751978284
WROC,2025-03-31 12:07:00,C06,110.21150359445478,-43.26221670882063
WROC,2025-03-31 12:07:30,C06,110.13417372560487,-43.21406557176221
WROC,2025-03-31 12:08:00,C06,110.05695310897278,-43.165854411467905
WROC,2025-03-31 12:08:30,C06,109.97984179313228,-43.11758353131054
WROC,2025-03-31 12:09:00,C06,109.90283982493588,-43.06925323516783
WROC,2025-03-31 12:09:30,C06,109.82594724952331,-43.02086382741487
WROC,2025-03-31 12:10:00,C06,109.74916411032997,-42.97241561291646
WROC,2025-03-31 12:10:30,C06,109.67311704028808,-42.92168330807899
WROC,2025-03-31 12:11:00,C06,109.5971805557953,-42.87089096442781
WROC,2025-03-31 12:11:30,C06,109.52135468199893,-42.82003889793398
WROC,2025-03-31 12:12:00,C06,109.44563944242316,-42.769127425084896
WROC,2025-03-31 12:12:30,C06,109.37003485897803,-42.71815686287649
WROC,2025-03-31 12:13:00,C06,109.29454095196822,-42.667127528805594
WROC,2025-03-31 12:13:30,C06,109.21915774010175,-42.61603974086207
WROC,2025-03-31 12:14:00,C06,109.14388524049897,-42.56489381752113
WROC,2025-03-31 12:14:30,C06,109.06872346870125,-42.51369007773552
WROC,2025-03-31 12:15:00,C06,108.99367243867994,-42.46242884092775
WROC,2025-03-31 12:15:30,C06,108.91943979266817,-42.40893660943631
WROC,2025-03-31 12:16:00,C06,108.84531847875682,-42.355385554753695
WROC,2025-03-31 12:16:30,C06,108.77130849420908,-42.30177600677187
WROC,2025-03-31 12:17:00,C06,108.69740983481026,-42.24810829588733
WROC,2025-03-31 12:17:30,C06,108.62362249487684,-42.194382752993185
WROC,2025-03-31 12:18:00,C06,108.54994646726537,-42.140599709471296
WROC,2025-03-31 12:18:30,C06,108.47638174338155,-42.086759497184254
WROC,2025-03-31 12:19:00,C06,108.40292831318912,-42.03286244846761
WROC,2025-03-31 12:19:30,C06,108.32958616521881,-41.97890889612174
WROC,2025-03-31 12:20:00,C06,108.25635528657736,-41.92489917340406
WROC,2025-03-31 12:20:30,C06,108.18401680698281,-41.86871416337369
WROC,2025-03-31 12:21:00,C06,108.11178965011956,-41.81247154333895
WROC,2025-03-31 12:21:30,C06,108.03967378823603,-41.756171656430084
WROC,2025-03-31 12:22:00,C06,107.96766919225556,-41.69981484627781
WROC,2025-03-31 12:22:30,C06,107.89577583178534,-41.64340145700519
WROC,2025-03-31 12:23:00,C06,107.82399367512532,-41.58693183321966
WROC,2025-03-31 12:23:30,C06,107.75232268927707,-41.53040632000477
WROC,2025-03-31 12:24:00,C06,107.68076283995264,-41.473825262912236
WROC,2025-03-31 12:24:30,C06,107.60931409158351,-41.41718900795365
WROC,2025-03-31 12:25:00,C06,107.53797640732934,-41.36049790159253
WROC,2025-03-31 12:25:30,C06,107.46759691592833,-41.30168954234138
WROC,2025-03-31 12:26:00,C06,107.39732803327236,-41.24282476050813
WROC,2025-03-31 12:26:30,C06,107.32716970970313,-41.183903911880215
WROC,2025-03-31 12:27:00,C06,107.25712189439228,-41.12492735274948
WROC,2025-03-31 12:27:30,C06,107.18718453535016,-41.06589543990398
WROC,2025-03-31 12:28:00,C06,107.11735757943427,-41.00680853061962
WROC,2025-03-31 12:28:30,C06,107.04764097235798,-40.94766698265187
WROC,2025-03-31 12:29:00,C06,106.97803465869909,-40.888471154227396
WROC,2025-03-31 12:29:30,C06,106.9085385819083,-40.82922140403588
WROC,2025-03-31 12:30:00,C06,106.83915268431795,-40.76991809122152
WROC,2025-03-31 12:30:30,C06,106.77078269237641,-40.708557610136914
WROC,2025-03-31 12:31:00,C06,106.70252194858911,-40.64714184711076
WROC,2025-03-31 12:31:30,C06,106.63437038462513,-40.58567117011409
WROC,2025-03-31 12:32:00,C06,106.56632793113621,-40.52414594763452
WROC,2025-03-31 12:32:30,C06,106.49839451776494,-40.462566548667624
WROC,2025-03-31 12:33:00,C06,106.43057007315288,-40.40093334270849
WROC,2025-03-31 12:33:30,C06,106.3628545249488,-40.33924669974313
WROC,2025-03-31 12:34:00,C06,106.29524779981675,-40.277506990239964
WROC,2025-03-31 12:34:30,C06,106.22774982344419,-40.2157145851412
WROC,2025-03-31 12:35:00,C06,106.16036052055003,-40.1538698558543
WROC,2025-03-31 12:35:30,C06,106.09403694644794,-40.09002982549386
WROC,2025-03-31 12:36:00,C06,106.02782067603725,-40.026135588541244
WROC,2025-03-31 12:36:30,C06,105.9617116255726,-39.96218752478643
WROC,2025-03-31 12:37:00,C06,105.89570971043767,-39.898186014555954
WROC,2025-03-31 12:37:30,C06,105.8298148451528,-39.834131438704055
WROC,2025-03-31 12:38:00,C06,105.76402694338267,-39.770024178604054
WROC,2025-03-31 12:38:30,C06,105.69834591794385,-39.705864616139415
WROC,2025-03-31 12:39:00,C06,105.63277168081235,-39.64165313369495
WROC,2025-03-31 12:39:30,C06,105.56730414313121,-39.577390114147946
WROC,2025-03-31 12:40:00,C06,105.50194321521786,-39.513075940859366
WROC,2025-03-31 12:40:30,C06,105.43769018525505,-39.4468298604071
WROC,2025-03-31 12:41:00,C06,105.3735419962416,-39.380530567535104
WROC,2025-03-31 12:41:30,C06,105.30949855221093,-39.314178453593364
WROC,2025-03-31 12:42:00,C06,105.24555975646264,-39.24777391049614
WROC,2025-03-31 12:42:30,C06,105.18172551156957,-39.181317330712886
WROC,2025-03-31 12:43:00,C06,105.11799571938465,-39.11480910725912
WROC,2025-03-31 12:43:30,C06,105.05437028104795,-39.048249633687355
WROC,2025-03-31 12:44:00,C06,104.99084909699359,-38.98163930407789
WROC,2025-03-31 12:44:30,C06,104.92743206695648,-38.91497851302962
WROC,2025-03-31 12:45:00,C06,104.86411908997944,-38.84826765565092
WROC,2025-03-31 12:45:30,C06,104.80194879742085,-38.77968956818213
WROC,2025-03-31 12:46:00,C06,104.73988043155758,-38.71105916806178
WROC,2025-03-31 12:46:30,C06,104.67791388725608,-38.642376858040656
WROC,2025-03-31 12:47:00,C06,104.61604905877462,-38.57364304146877
WROC,2025-03-31 12:47:30,C06,104.55428583976968,-38.504858122285945
WROC,2025-03-31 12:48:00,C06,104.49262412330215,-38.436022505012374
WROC,2025-03-31 12:48:30,C06,104.43106380184368,-38.367136594739044
WROC,2025-03-31 12:49:00,C06,104.36960476728281,-38.298200797118305
WROC,2025-03-31 12:49:30,C06,104.30824691093127,-38.229215518354295
WROC,2025-03-31 12:50:00,C06,104.2469901235301,-38.16018116519336
WROC,2025-03-31 12:50:30,C06,104.18690372423221,-38.08934531381824
WROC,2025-03-31 12:51:00,C06,104.12691595232228,-38.0184579445601
WROC,2025-03-31 12:51:30,C06,104.06702669635584,-37.94751947150194
WROC,2025-03-31 12:52:00,C06,104.00723584439316,-37.8765303093677
WROC,2025-03-31 12:52:30,C06,103.94754328400472,-37.805490873512426
WROC,2025-03-31 12:53:00,C06,103.88794890227686,-37.734401579912394
WROC,2025-03-31 12:53:30,C06,103.82845258581733,-37.66326284515522
WROC,2025-03-31 12:54:00,C06,103.76905422076085,-37.592075086429986
WROC,2025-03-31 12:54:30,C06,103.70975369277448,-37.520838721517165
WROC,2025-03-31 12:55:00,C06,103.6505508870633,-37.4495541687787
WROC,2025-03-31 12:00:00,C07,103.40772885283143,-15.636160511090425
WROC,2025-03-31 12:00:30,C07,103.49301661024194,-15.683927617064427
WROC,2025-03-31 12:01:00,C07,103.57832563046608,-15.731651231435695
WROC,2025-03-31 12:01:30,C07,103.66365554307463,-15.779330996091561
WROC,2025-03-31 12:02:00,C07,103.74900597708616,-15.826966554025882
WROC,2025-03-31 12:02:30,C07,103.83437656097651,-15.874557549352204
WROC,2025-03-31 12:03:00,C07,103.9197669226882,-15.922103627316893
WROC,2025-03-31 12:03:30,C07,104.00517668963992,-15.969604434312147
WROC,2025-03-31 12:04:00,C07,104.09060548873603,-16.01705961788896
WROC,2025-03-31 12:04:30,C07,104.17605294637609,-16.06446882676996
WROC,2025-03-31 12:05:00,C07,104.26151868846448,-16.111831710862255
WROC,2025-03-31 12:05:30,C07,104.34599999135536,-16.15978824919905
WROC,2025-03-31 12:06:00,C07,104.43050368979205,-16.207700944360568
WROC,2025-03-31 12:06:30,C07,104.51502942490566,-16.25556944249817
WROC,2025-03-31 12:07:00,C07,104.59957683725656,-16.303393390855717
WROC,2025-03-31 12:07:30,C07,104.684145566843,-16.351172437782367
WROC,2025-03-31 12:08:00,C07,104.76873525311022,-16.39890623274536
WROC,2025-03-31 12:08:30,C07,104.85334553495926,-16.446594426342667
WROC,2025-03-31 12:09:00,C07,104.93797605075603,-16.494236670315534
WROC,2025-03-31 12:09:30,C07,105.02262643834032,-16.541832617561024
WROC,2025-03-31 12:10:00,C07,105.10729633503476,-16.589381922144447
WROC,2025-03-31 12:10:30,C07,105.19092104455059,-16.637535779344425
WROC,2025-03-31 12:11:00,C07,105.27456926813817,-16.685645511409437
WROC,2025-03-31 12:11:30,C07,105.35824065898946,-16.73371076898073
