Reference,Constellation,Epoch,Satellite_ID,E,N,U
WROC,CENTISPACE,2025-03-31 12:00:00,90001,-3392197.4152118256,-5342023.341332393,-2044981.1738422622
WROC,CENTISPACE,2025-03-31 12:00:00,90002,1177142.5551658627,-3915217.9971786547,116263.326940091
WROC,CENTISPACE,2025-03-31 12:00:00,90003,5194242.957365113,-645422.819446944,-758318.6498218379
WROC,CENTISPACE,2025-03-31 12:00:00,90004,6777814.551397062,2936299.232694497,-4259485.763581949
WROC,CENTISPACE,2025-03-31 12:00:00,90005,5186436.0636137705,5152861.3080409495,-8747813.717975125
WROC,CENTISPACE,2025-03-31 12:00:00,90006,1166220.1637319305,4966776.499896363,-12121359.139019715
WROC,CENTISPACE,2025-03-31 12:00:00,90007,-3399437.5150848236,2467239.664725404,-12802460.320764473
WROC,CENTISPACE,2025-03-31 12:00:00,90008,-6376235.415208808,-1175180.8788605342,-10475631.079897476
WROC,CENTISPACE,2025-03-31 12:00:00,90009,-6374284.745269886,-4258943.865492127,-6228480.495229939
WROC,CENTISPACE,2025-03-31 12:00:00,90010,-6848493.391430338,-2138208.900845768,-9088090.99814976
WROC,CENTISPACE,2025-03-31 12:00:00,90011,-4616480.3113802755,-6115337.807764636,-6491314.007549891
WROC,CENTISPACE,2025-03-31 12:00:00,90012,-227653.720822258,-7225873.318473043,-3835603.5396824772
WROC,CENTISPACE,2025-03-31 12:00:00,90013,4267966.460120798,-4948450.304156326,-2362404.242340646
WROC,CENTISPACE,2025-03-31 12:00:00,90014,6765837.772496711,-345620.6130728403,-2762675.136671652
WROC,CENTISPACE,2025-03-31 12:00:00,90015,6094716.221913278,4427866.738540406,-4850009.357172668
WROC,CENTISPACE,2025-03-31 12:00:00,90016,2568547.788394862,7136580.384447544,-7647080.963984197
WROC,CENTISPACE,2025-03-31 12:00:00,90017,-2161531.3151532914,6512261.889667631,-9844192.441056687
WROC,CENTISPACE,2025-03-31 12:00:00,90018,-5880314.369481833,2848249.4922605394,-10412732.581963085
WROC,CENTISPACE,2025-03-31 12:00:00,90019,-4209266.763002199,6399236.727758089,-7052401.288456825
WROC,CENTISPACE,2025-03-31 12:00:00,90020,-7347967.378767059,2238666.808013319,-6397468.361400133
WROC,CENTISPACE,2025-03-31 12:00:00,90021,-7046534.533213764,-2961112.2490862804,-5727387.66304658
WROC,CENTISPACE,2025-03-31 12:00:00,90022,-3449055.876345511,-6765956.095552778,-5355737.467738722
WROC,CENTISPACE,2025-03-31 12:00:00,90023,1759755.1038285382,-7399158.0373668745,-5455892.070100604
WROC,CENTISPACE,2025-03-31 12:00:00,90024,6146631.024447627,-4565868.505667423,-5980940.771011937
WROC,CENTISPACE,2025-03-31 12:00:00,90025,7660163.8753326265,412084.54375479725,-6685762.95721945
WROC,CENTISPACE,2025-03-31 12:00:00,90026,5588695.217330851,5206540.770073279,-7240583.7751337495
WROC,CENTISPACE,2025-03-31 12:00:00,90027,900473.2645481679,7571524.290509356,-7385420.404672096
WROC,CENTISPACE,2025-03-31 12:00:00,90028,3392197.4152118284,5379046.3544898555,-10691698.60359987
WROC,CENTISPACE,2025-03-31 12:00:00,90029,-1177142.5551658617,7189104.7691135835,-8839553.949984105
WROC,CENTISPACE,2025-03-31 12:00:00,90030,-5194242.9573651105,5641892.284490963,-5829140.744820698
WROC,CENTISPACE,2025-03-31 12:00:00,90031,-6777814.551397059,1461611.9193155963,-3070126.412527209
WROC,CENTISPACE,2025-03-31 12:00:00,90032,-5186436.063613771,-3394328.8552676784,-1854365.55866201
WROC,CENTISPACE,2025-03-31 12:00:00,90033,-1166220.1637319294,-6651946.982797267,-2750669.301186703
WROC,CENTISPACE,2025-03-31 12:00:00,90034,3399437.515084822,-6788254.724688612,-5337753.259942398
WROC,CENTISPACE,2025-03-31 12:00:00,90035,6376235.415208812,-3742821.3380650086,-8404787.204998905
WROC,CENTISPACE,2025-03-31 12:00:00,90036,6374284.74526989,1061065.7601191094,-10519154.957888857
WROC,CENTISPACE,2025-03-31 12:00:00,90037,6848493.391430337,-2182806.1591174346,-9052122.58255712
WROC,CENTISPACE,2025-03-31 12:00:00,90038,4616480.311380279,1197335.590839088,-12389104.277346488
WROC,CENTISPACE,2025-03-31 12:00:00,90039,227653.72082226034,4027995.2131000278,-12912031.91343632
WROC,CENTISPACE,2025-03-31 12:00:00,90040,-4267966.460120797,4985473.31731379,-10374275.535101488
WROC,CENTISPACE,2025-03-31 12:00:00,90041,-6765837.7724967105,3619507.3850077684,-5960615.486372362
WROC,CENTISPACE,2025-03-31 12:00:00,90042,-6094716.221913279,568602.7265036103,-1737450.0374698655
WROC,CENTISPACE,2025-03-31 12:00:00,90043,-2568547.788394858,-2738669.2324374593,317468.78787504154
WROC,CENTISPACE,2025-03-31 12:00:00,90044,2161531.315153295,-4753729.436894361,-757986.8355804478
WROC,CENTISPACE,2025-03-31 12:00:00,90045,5880314.36948183,-4533419.975161442,-4459295.858243327
WROC,CENTISPACE,2025-03-31 12:00:00,90046,4209266.763002206,-2001325.575748001,-277210.88765233365
WROC,CENTISPACE,2025-03-31 12:00:00,90047,7347967.378767063,-480134.3552400437,-4204710.915237006
WROC,CENTISPACE,2025-03-31 12:00:00,90048,7046534.533213764,1275941.7661853759,-9144640.777159838
WROC,CENTISPACE,2025-03-31 12:00:00,90049,3449055.8763455055,2444941.0355895734,-12784476.112968156
WROC,CENTISPACE,2025-03-31 12:00:00,90050,-1759755.1038285452,2481155.820441329,-13424526.214795774
WROC,CENTISPACE,2025-03-31 12:00:00,90051,-6146631.024447632,1367990.400294406,-10766694.682106858
WROC,CENTISPACE,2025-03-31 12:00:00,90052,-7660163.875332625,-375061.53059733723,-6050916.820222681
WROC,CENTISPACE,2025-03-31 12:00:00,90053,-5588695.217330848,-1932653.9981383537,-1482706.8479102629
WROC,CENTISPACE,2025-03-31 12:00:00,90054,-900473.2645481635,-2575054.8254653434,797961.0100295647
